0.32749	0.3114	0.32456	0.32602	0.3231	0.32968	0.3231	0.32602	0.32675
0.30044	0.30556	0.31652	0.30482	0.29678	0.30775	0.31798	0.28436	0.30117
0.29313	0.32675	0.29971	0.31067	0.29898	0.27851	0.28728	0.27632	0.30409
0.29825	0.28801	0.29386	0.27412	0.2902	0.27558	0.28801	0.26535	0.28947
0.30409	0.30263	0.30117	0.30044	0.29313	0.27632	0.28801	0.26901	0.27924
0.29898	0.29971	0.30702	0.28509	0.27558	0.26462	0.28143	0.24927	0.27485
0.32018	0.28289	0.3136	0.29459	0.30702	0.29386	0.33187	0.25658	0.30482
0.34722	0.34795	0.32968	0.32675	0.32237	0.29094	0.33699	0.27558	0.29386
0.39327	0.36477	0.36915	0.34503	0.35965	0.31725	0.37281	0.29313	0.3443
0.38304	0.38158	0.40278	0.37646	0.41447	0.34137	0.39254	0.33041	0.36988
0.4576	0.4152	0.42544	0.41155	0.43713	0.40863	0.42178	0.36257	0.42398
0.46857	0.45175	0.44883	0.46564	0.45175	0.41228	0.44152	0.40643	0.44152
0.049419	0.049419	0.05814	0.046512	0.040698	0.049419	0.034884	0.034884	0.055233
0.061047	0.052326	0.049419	0.049419	0.049419	0.02907	0.063953	0.040698	0.063953
0.087209	0.078488	0.10756	0.063953	0.10465	0.040698	0.090116	0.043605	0.063953
0.10756	0.12209	0.098837	0.075581	0.098837	0.093023	0.11919	0.069767	0.11628
0.15116	0.14826	0.15698	0.11919	0.12209	0.093023	0.13663	0.090116	0.10756
0.18023	0.18895	0.18314	0.17151	0.19186	0.12791	0.22384	0.098837	0.17151
0.24128	0.20349	0.21221	0.19767	0.24128	0.17733	0.22965	0.125	0.15407
0.34593	0.24419	0.24709	0.17733	0.30523	0.24128	0.26163	0.17442	0.25291
0.2936	0.31686	0.35465	0.27035	0.30523	0.26744	0.28779	0.25	0.30233
0.35756	0.38081	0.37209	0.34593	0.36337	0.34012	0.34012	0.26163	0.3314
0.40407	0.4157	0.39244	0.35756	0.42151	0.38372	0.4186	0.36919	0.375
0.4157	0.43605	0.43895	0.42442	0.4186	0.40407	0.45349	0.36628	0.42733
0.052326	0.061047	0.052326	0.026163	0.037791	0.037791	0.055233	0.043605	0.043605
0.084302	0.055233	0.093023	0.05814	0.090116	0.031977	0.055233	0.043605	0.02907
0.078488	0.063953	0.06686	0.078488	0.069767	0.046512	0.069767	0.037791	0.063953
0.090116	0.13372	0.11337	0.098837	0.13372	0.06686	0.10465	0.069767	0.084302
0.1686	0.15698	0.15988	0.13081	0.11628	0.09593	0.15116	0.10756	0.11919
0.20058	0.17442	0.18023	0.1686	0.19477	0.14826	0.18605	0.16279	0.17151
0.28198	0.25581	0.26453	0.22384	0.25291	0.16279	0.22093	0.15407	0.21802
0.30233	0.25	0.30233	0.22384	0.27616	0.19477	0.27907	0.1657	0.21221
0.36919	0.30233	0.34012	0.26744	0.29942	0.22674	0.29942	0.15407	0.26163
0.40407	0.36047	0.43314	0.38081	0.32849	0.36047	0.37791	0.31105	0.38663
0.42151	0.44186	0.43314	0.40116	0.43605	0.40407	0.4186	0.36047	0.40407
0.44477	0.46802	0.45058	0.42442	0.42733	0.43895	0.41279	0.40116	0.43023
0.05814	0.061047	0.055233	0.037791	0.093023	0.020349	0.052326	0.037791	0.02907
